customerid,acquisitiondate,age,gender,churn,retentionperiod,companytype,acquisitioncost,totalspend,marketingchannel,customerinteractions,paymentmethod,billingissues,frequencyofbillingissues,city
08009d74-66bd-4bda-92d4-1f9a0ca11a3e,2022-10-16,42,Male,0,297,Manufacturing,"₹23,114","₹51,098",Email Campaign,32,UPI,No,9,Delhi
2ad08570-d895-4d90-ad1f-c013557cc400,2022-11-23,27,Male,0,83,Manufacturing,"₹27,224","₹65,386",Instagram Ads,38,Credit Card,No,0,Delhi
b7270845-c063-42eb-887d-152319db539f,2023-12-05,33,Female,1,265,Healthcare,"₹42,491","₹10,569",Facebook Ads,38,Bank Transfer,Yes,0,Delhi
e017ef76-91c2-4151-8273-6fa7ced374d6,2023-08-29,24,Female,1,418,Healthcare,"₹5,440","₹57,882",Google Ads,28,Bank Transfer,No,2,Delhi
6ca8ee7d-ef1e-40da-9abf-0b76ead717a6,2023-08-28,25,Male,0,430,Tech,"₹29,258","₹71,393",Email Campaign,30,UPI,Yes,3,Delhi
7a90fbc3-23de-4160-9b2c-edbf1c5f04d4,2023-04-01,18,Female,1,653,Retail,"₹36,724","₹1,340",Facebook Ads,3,Bank Transfer,Yes,6,Delhi
c8aa63f7-38b4-4a45-b1f5-74757d43c88f,2022-11-10,49,Female,1,332,Consulting,"₹8,288","₹44,949",Referral Program,28,Credit Card,No,3,Delhi
d454e5a5-d91b-4c63-9af9-34d61422c443,2023-08-05,56,Male,1,236,Consulting,"₹28,582","₹83,302",Partner Website,3,UPI,Yes,0,Delhi
64021382-0e9d-4a22-9fd1-e291e679cdc8,2024-03-29,26,Male,1,258,Retail,"₹24,534","₹63,443",Google Ads,45,Bank Transfer,Yes,0,Delhi
99eb8ad9-45de-4be0-9aaa-3c3c36bdb54b,2024-08-18,55,Male,0,607,Healthcare,"₹35,979","₹92,668",Direct Traffic,34,Bank Transfer,No,0,Delhi
16d7f84b-ab77-4bf7-b0dd-c26d465751d6,2024-06-26,45,Female,1,104,Tech,"₹11,780","₹75,027",Direct Traffic,16,Credit Card,Yes,0,Delhi
2080c503-5317-4ca1-86e2-b6b4af35c5ab,2023-06-20,28,Male,0,464,Retail,"₹18,552","₹1,138",Partner Website,22,Credit Card,Yes,3,Delhi
27f9a96e-fba4-4ed3-b2ba-7be4173247e7,2022-10-10,46,Male,1,132,Tech,"₹17,031","₹1,358",Direct Traffic,32,UPI,No,0,Delhi
3068f610-39b0-4936-b487-0bcebf3b259d,2023-12-17,50,Male,1,451,Tech,"₹23,304","₹76,250",Partner Website,38,Bank Transfer,Yes,0,Delhi
fc63474b-1af3-460d-8d3b-b1302b48e797,2024-07-16,44,Female,1,335,Tech,"₹29,403","₹86,376",Facebook Ads,8,Credit Card,Yes,7,Delhi
22a44e32-0e20-4546-83d0-595abe02a560,2024-07-11,62,Male,0,127,Education,"₹45,357","₹31,654",Google Ads,8,UPI,No,0,Delhi
8454d8af-1648-4542-a68d-dc7bab0719b9,2023-03-01,19,Female,1,364,Manufacturing,"₹10,642","₹26,879",Google Ads,6,Bank Transfer,No,0,Delhi
9d973b70-8db0-4954-91b9-f4d04b95f5ee,2022-12-27,24,Female,0,464,Tech,"₹48,855","₹82,532",Instagram Ads,14,Bank Transfer,No,0,Delhi
ca37ed2b-aaf2-4f21-bf12-678c6a72a345,2024-09-22,25,Female,1,476,Education,"₹10,366","₹56,778",Partner Website,32,UPI,No,0,Delhi
7594b97d-9fd1-41a7-af67-94a5b76cac1d,2022-12-10,42,Male,0,337,Healthcare,"₹5,031","₹38,772",Google Ads,35,UPI,Yes,9,Delhi
3fb873c5-8eaf-4f05-8cd6-85626fe55a3b,2022-11-29,25,Male,1,278,Retail,"₹45,954","₹59,478",Instagram Ads,10,Credit Card,Yes,4,Delhi
2f5afc11-8f2b-41c7-9f4b-17607cbf9e72,2022-11-24,33,Male,0,195,Manufacturing,"₹38,598","₹65,353",Email Campaign,3,Bank Transfer,No,5,Delhi
5196b00d-98a6-45d1-af64-4c85978a2cf1,2022-12-10,43,Male,0,510,E-Commerce,"₹38,778","₹27,762",Instagram Ads,12,Bank Transfer,Yes,1,Delhi
f2fe4687-1400-498d-98fa-0aae3b86f33a,2023-03-26,42,Male,1,364,Retail,"₹28,638","₹14,283",Referral Program,49,Bank Transfer,Yes,2,Delhi
56ae709f-f15e-4b80-893b-5d28b14fbb11,2023-12-12,58,Female,0,571,Manufacturing,"₹27,565","₹64,922",Word of Mouth,31,UPI,No,0,Delhi
e9279c09-2a5b-4ef2-8098-14cf9f65c2f9,2024-03-17,26,Male,1,135,E-Commerce,"₹30,456","₹40,420",Facebook Ads,29,Credit Card,No,0,Delhi
14ac5007-4ea2-4c4a-9d3b-55c744117471,2023-10-31,22,Female,1,592,Retail,"₹42,232","₹56,568",Email Campaign,5,Bank Transfer,Yes,5,Delhi
36679c97-69ca-442e-9ec5-cccda117eec0,2023-06-18,23,Male,1,110,Manufacturing,"₹39,761","₹86,090",Word of Mouth,25,UPI,No,8,Delhi
7f4ea841-7544-4575-95ad-7a6c6b7d498a,2023-04-29,63,Female,1,162,Retail,"₹11,259","₹21,219",Word of Mouth,41,Bank Transfer,No,3,Delhi
7af0687d-7726-40cf-ad08-c936955dad42,2024-02-08,27,Male,1,167,Retail,"₹5,939","₹58,169",Email Campaign,31,Credit Card,No,0,Delhi
bbcb09d7-bb44-40d5-a219-e148d46a271f,2024-05-11,41,Female,1,213,E-Commerce,"₹47,741","₹75,965",Referral Program,21,Bank Transfer,Yes,4,Delhi
fcc174ec-8a5b-474f-997f-7b5f057558d4,2022-12-19,54,Female,1,430,Retail,"₹43,033","₹47,840",Instagram Ads,20,Credit Card,No,0,Delhi
eb34cb84-3935-4d7f-aba6-452df0c28674,2023-01-31,57,Male,1,359,Retail,"₹28,770","₹45,695",Facebook Ads,39,Credit Card,Yes,0,Delhi
73e84d47-2801-4450-85c5-f17a76966112,2022-12-03,33,Male,1,537,E-Commerce,"₹13,779","₹85,754",Instagram Ads,22,Bank Transfer,Yes,0,Delhi
656d2dbf-face-4ee9-9443-8a9756c2056e,2024-01-02,39,Female,1,98,Healthcare,"₹39,779","₹78,988",Google Ads,4,Bank Transfer,Yes,0,Delhi
99c1e7d2-6718-4544-8ca6-754fc2ead6e4,2023-11-15,56,Female,1,575,Tech,"₹44,751","₹59,342",Instagram Ads,13,Credit Card,No,1,Delhi
f9dca774-c96b-40b8-b2af-3ca8e3fc6bfc,2023-09-30,63,Male,0,82,Consulting,"₹24,388","₹19,951",Direct Traffic,45,UPI,No,0,Delhi
aa9615db-1fa9-4645-8c9b-71b41331bb19,2024-03-27,45,Male,0,479,Finance,"₹18,130","₹2,307",Email Campaign,42,Credit Card,No,0,Delhi
40c34215-9fe2-4d19-a324-569b5b8a4805,2022-11-08,57,Female,1,234,Education,"₹35,644","₹81,388",Facebook Ads,49,Bank Transfer,No,8,Delhi
cf94758b-29df-46ae-ae75-cbc4425a87f7,2023-02-27,47,Female,1,155,Finance,"₹31,682","₹91,768",Instagram Ads,20,Bank Transfer,No,0,Delhi
bbc67073-e1db-4629-82f4-ecb8404c14fb,2023-01-15,53,Male,1,72,Finance,"₹26,038","₹36,428",Facebook Ads,13,UPI,Yes,0,Delhi
fd0b19b1-6452-4865-a0db-0ea3c1ee3d8b,2024-02-14,51,Female,1,140,Manufacturing,"₹12,324","₹93,021",Facebook Ads,17,Credit Card,Yes,0,Delhi
a20b8ddb-6bcb-4676-a450-b470ac39e1b2,2024-08-22,46,Female,1,692,Tech,"₹32,625","₹76,774",Google Ads,36,Credit Card,Yes,3,Delhi
65ec798b-a1b1-45c2-9c45-150414458a05,2022-11-07,59,Male,1,212,Manufacturing,"₹7,479","₹39,975",Google Ads,33,Credit Card,No,0,Delhi
21e81789-90c3-49fe-a894-33d252be074b,2023-04-25,63,Female,1,124,Tech,"₹26,689","₹2,140",Email Campaign,1,Bank Transfer,Yes,0,Delhi
91ab69a7-f687-408d-85f8-ef8101497752,2024-04-03,58,Male,1,403,E-Commerce,"₹43,100","₹25,842",Referral Program,15,Credit Card,Yes,9,Delhi
cdbf5215-9501-479a-b0b4-cbc75276d015,2023-07-06,20,Female,0,549,E-Commerce,"₹13,004","₹27,421",Direct Traffic,13,UPI,No,1,Delhi
27fc2f9b-0670-45c7-b607-6c73783cbdc1,2023-06-26,58,Male,1,389,Consulting,"₹21,169","₹2,708",Word of Mouth,17,Bank Transfer,No,0,Delhi
3428a91d-173c-4b9f-90e5-a19a2c128a6f,2022-12-27,22,Female,0,725,Tech,"₹7,410","₹4,630",Facebook Ads,24,Bank Transfer,Yes,0,Delhi
8ddcf9c5-5a09-4f6f-bb3c-0c3ff0b9dc90,2023-04-02,60,Male,1,310,Retail,"₹47,357","₹20,595",Referral Program,8,Credit Card,Yes,6,Delhi
fda5f8f1-ecd7-4485-baef-db220a029354,2022-11-01,33,Male,1,224,Healthcare,"₹35,464","₹77,021",Word of Mouth,27,UPI,No,0,Delhi
245187a1-e6a2-411c-a13c-1299f3c2d695,2024-02-19,40,Male,0,224,Consulting,"₹20,631","₹29,308",Word of Mouth,45,Bank Transfer,No,9,Delhi
8d33c5db-43a2-49e6-a6f2-a995115df794,2024-08-13,57,Female,1,696,Consulting,"₹25,727","₹45,789",Direct Traffic,23,Bank Transfer,No,0,Delhi
154ba7fa-259d-4d45-ac8f-d72537176a63,2023-10-28,38,Female,0,122,Retail,"₹6,478","₹56,690",Email Campaign,46,Credit Card,No,7,Delhi
d965a212-c7dd-4ee6-a42f-ee5547ca3166,2022-12-09,38,Female,1,701,Healthcare,"₹22,491","₹27,086",Word of Mouth,8,Credit Card,Yes,0,Delhi
38444adc-4b4f-4d77-98e4-561f1f598230,2024-06-03,51,Male,1,90,Manufacturing,"₹17,653","₹17,859",Direct Traffic,8,UPI,Yes,9,Delhi
5c901bd8-0a18-495d-88ae-e58ecbfe88e9,2023-06-18,21,Male,0,663,Healthcare,"₹34,048","₹8,684",Word of Mouth,26,Credit Card,No,1,Delhi
744be994-f80e-46ac-9ac6-62ca8b83a33c,2024-01-20,41,Female,1,80,Manufacturing,"₹43,176","₹92,088",Facebook Ads,47,UPI,Yes,5,Delhi
927ea64a-26f7-4951-ad01-f31c2f4c77ac,2024-08-15,54,Male,0,432,E-Commerce,"₹39,571","₹2,207",Facebook Ads,13,Bank Transfer,Yes,6,Delhi
e03e5a00-7ff1-4d2e-b31f-eddf9d15419b,2024-02-08,47,Male,1,34,Finance,"₹47,954","₹47,099",Partner Website,39,UPI,No,7,Delhi
acef2208-461b-43fd-8910-71ccb503da59,2022-10-17,34,Female,0,495,E-Commerce,"₹4,483","₹68,496",Referral Program,37,UPI,Yes,0,Delhi
30ddfb58-22ae-455d-925c-7f37cba69ca5,2024-02-19,59,Female,0,633,E-Commerce,"₹10,003","₹67,093",Instagram Ads,49,UPI,Yes,0,Delhi
5523187e-529a-41b4-8acb-5f5fcaac2b79,2022-12-05,45,Female,1,711,Finance,"₹30,421","₹30,689",Direct Traffic,28,Bank Transfer,Yes,8,Delhi
5eb79f85-31ce-453c-adb9-41c74ed315d9,2022-12-16,33,Male,1,563,Healthcare,"₹17,405","₹49,651",Google Ads,25,Credit Card,No,0,Delhi
aaf7bef4-f4c5-4c6c-bf07-2ee1405992bd,2024-04-10,21,Male,0,434,Consulting,"₹46,338","₹14,893",Direct Traffic,16,Bank Transfer,No,0,Delhi
f27e302b-721b-43e6-8dde-9d0e1a1befa8,2024-06-01,47,Female,1,542,Healthcare,"₹24,453","₹98,808",Instagram Ads,2,Credit Card,Yes,0,Delhi
ea5c4041-3375-4c74-aab5-83d5d76fca37,2023-05-06,57,Male,1,674,Manufacturing,"₹27,306","₹67,418",Referral Program,18,UPI,No,0,Delhi
bcc01329-4313-4976-9187-27842f9a87f7,2024-04-22,46,Male,1,262,Retail,"₹45,500","₹61,011",Google Ads,17,UPI,No,0,Delhi
aee34c76-caa8-4d67-adee-a856fbbb565d,2024-07-01,47,Male,0,553,Manufacturing,"₹22,668","₹39,635",Instagram Ads,30,UPI,No,0,Delhi
a689baa8-d98c-4513-9994-e44725bc89bf,2023-12-20,27,Female,0,375,Retail,"₹5,083","₹57,115",Partner Website,39,UPI,Yes,7,Delhi
d00fb24c-9df9-45d2-a524-ab8d9e886c10,2024-06-09,59,Female,0,75,E-Commerce,"₹39,214","₹96,071",Google Ads,13,UPI,Yes,0,Delhi
ab358aa9-0ebb-41a5-901d-8a2c98e0120b,2023-07-04,19,Male,0,575,Finance,"₹49,645","₹79,405",Facebook Ads,32,Credit Card,No,0,Delhi
aa271a0a-6137-465e-9630-7829714d29b4,2024-04-09,35,Male,0,107,E-Commerce,"₹40,396","₹73,702",Instagram Ads,29,Credit Card,Yes,0,Delhi
3f4bb9a1-f7c3-4a16-9939-36b400099726,2023-02-21,33,Male,0,102,Tech,"₹12,389","₹79,518",Direct Traffic,46,UPI,Yes,5,Delhi
6353ba20-767e-419d-9717-dfe2e9a7532f,2023-07-02,49,Female,0,278,Healthcare,"₹27,913","₹73,805",Google Ads,30,Bank Transfer,Yes,0,Delhi
ad473c0d-b10a-4270-b6a7-e037ca581a86,2022-10-28,35,Male,0,76,Retail,"₹12,775","₹59,954",Partner Website,18,Bank Transfer,Yes,0,Delhi
190bb17d-716c-4290-a733-887accb872aa,2024-05-27,56,Male,0,150,Manufacturing,"₹2,961","₹29,064",Direct Traffic,13,UPI,Yes,0,Delhi
bb6ebdc7-7752-47b3-9b8c-3da041d39c2b,2024-09-18,42,Male,1,243,Finance,"₹14,791","₹80,063",Word of Mouth,43,Credit Card,No,8,Delhi
167ae373-9374-44ff-96bc-c19b3fdaa1ba,2023-07-12,24,Female,0,268,Retail,"₹47,304","₹3,454",Google Ads,21,Bank Transfer,Yes,0,Delhi
521161f1-21ce-4561-aa0a-822638a73d0f,2024-10-04,53,Male,1,85,Manufacturing,"₹11,935","₹21,878",Google Ads,30,Bank Transfer,Yes,7,Delhi
0332caa7-b49e-4e14-8f1f-c5e1a4d68ed4,2022-11-13,64,Male,1,379,Healthcare,"₹28,435","₹52,098",Partner Website,21,Bank Transfer,Yes,0,Delhi
f900ad71-4098-4e12-8105-e5b3472bbddc,2023-11-17,28,Male,1,136,E-Commerce,"₹33,953","₹63,154",Word of Mouth,48,UPI,No,3,Delhi
fb6cac71-d79b-4f30-a865-608d00603a29,2024-05-25,20,Female,0,77,Healthcare,"₹19,044","₹13,991",Instagram Ads,17,Bank Transfer,No,7,Delhi
78b27399-1e16-452c-9e7a-53ae8aeb3246,2022-10-10,36,Female,0,602,Education,"₹12,758","₹69,344",Email Campaign,40,Bank Transfer,No,9,Delhi
4f2e4122-7905-4894-a16c-e0917d6e8a98,2024-03-02,32,Male,0,366,Tech,"₹31,341","₹37,593",Instagram Ads,19,Bank Transfer,Yes,0,Delhi
965d54e5-d12e-4152-9962-c3fe4d7277a3,2023-11-27,30,Male,0,55,Education,"₹49,258","₹37,304",Word of Mouth,15,Bank Transfer,No,8,Delhi
2626f4a4-b348-4bd7-be63-d933c5309976,2022-11-15,50,Male,1,286,Finance,"₹49,690","₹31,386",Referral Program,9,Credit Card,No,9,Delhi
05472f8e-a459-42ef-9276-0a5299bbb785,2024-02-16,22,Female,0,37,Retail,"₹11,236","₹56,220",Direct Traffic,10,UPI,No,3,Delhi
9f785167-ff40-4f5a-969b-7e0eeb1c6d47,2023-01-15,62,Female,0,654,Finance,"₹38,143","₹70,338",Partner Website,44,UPI,No,2,Delhi
992ee859-f2aa-4829-bd9b-67504e068210,2023-01-04,20,Male,0,282,E-Commerce,"₹44,450","₹95,289",Instagram Ads,31,Credit Card,Yes,0,Delhi
379a66c9-ea50-4235-8de7-3bcfbf978466,2023-02-10,37,Female,0,721,Manufacturing,"₹35,464","₹22,083",Google Ads,23,Credit Card,No,0,Delhi
a7f556da-17a3-4de6-94aa-a9dbd179aba7,2023-11-15,37,Male,0,332,Healthcare,"₹28,544","₹19,354",Partner Website,30,UPI,No,0,Delhi
0fa7b99c-2d3d-4fc5-b4d4-cf293cd8a029,2023-10-21,55,Female,1,668,Education,"₹40,433","₹23,190",Facebook Ads,33,Bank Transfer,Yes,0,Delhi
41cbb149-8bcb-4d13-9446-282569839e00,2024-02-12,52,Female,0,85,Consulting,"₹16,497","₹7,142",Word of Mouth,9,Bank Transfer,Yes,4,Delhi
5be91372-a366-4f47-ab0b-01f3e8043f7f,2024-05-29,40,Male,1,555,Education,"₹14,715","₹29,398",Direct Traffic,47,UPI,No,0,Delhi
2883a966-5397-4064-bac2-a90d4d6e6898,2023-06-01,37,Female,0,503,E-Commerce,"₹33,569","₹52,971",Instagram Ads,1,Bank Transfer,Yes,4,Delhi
