customerid,acquisitiondate,age,gender,churn,retentionperiod,companytype,acquisitioncost,totalspend,marketingchannel,customerinteractions,paymentmethod,billingissues,frequencyofbillingissues,city
3afd668c-a8f8-460c-a50c-31c02d4c94b5,2024-06-15,28,Male,0,565,Tech,"₹22,281","₹17,363",Facebook Ads,22,UPI,Yes,6,Mumbai
e0d12c63-83a1-4f30-8fb7-7d0a0c13482d,2023-06-06,60,Male,0,385,Tech,"₹30,548","₹29,490",Email Campaign,38,Bank Transfer,Yes,4,Mumbai
deb08dd5-add9-46ff-bc75-8e5d559ff103,2023-10-04,27,Female,1,655,Tech,"₹3,565","₹60,004",Facebook Ads,7,UPI,No,0,Mumbai
9ab733e1-a9fa-4e57-935a-17be559d2dd3,2023-01-29,59,Male,0,696,Education,"₹2,536","₹54,806",Referral Program,15,UPI,Yes,8,Mumbai
6713fb5a-e6db-4916-bf9a-f66bbb8cfd80,2024-06-16,61,Male,0,194,Tech,"₹36,314","₹1,260",Word of Mouth,32,UPI,Yes,0,Mumbai
a95c02fb-4d23-48f3-820f-9a09e424bdb1,2024-09-09,46,Male,1,120,Retail,"₹17,424","₹76,992",Instagram Ads,11,UPI,No,0,Mumbai
7d5ce3b8-7355-4d42-9f4b-febfc54b0e9a,2022-11-10,21,Male,1,196,Education,"₹33,344","₹23,320",Email Campaign,24,Bank Transfer,No,0,Mumbai
7b7a90b1-5562-48c6-af3c-afb3047012a3,2024-08-31,22,Female,1,236,E-Commerce,"₹49,148","₹79,971",Facebook Ads,3,Credit Card,No,1,Mumbai
21a65421-acf9-46e0-bfa5-e1efaad29673,2024-01-03,64,Female,0,311,Manufacturing,"₹16,907","₹43,145",Partner Website,30,Credit Card,No,0,Mumbai
093b4fed-e701-4141-ae5f-f88c121911fc,2023-09-22,64,Male,1,94,E-Commerce,"₹22,018","₹64,688",Facebook Ads,6,UPI,Yes,6,Mumbai
c7aff241-f7b5-4a20-b2f4-0986f5cc4b0a,2024-07-08,32,Male,0,545,Education,"₹17,559","₹49,581",Partner Website,2,UPI,No,0,Mumbai
26f9ddd5-9ebc-4acd-9222-d05a0f44be4e,2023-10-19,47,Male,0,186,Education,"₹23,552","₹93,561",Direct Traffic,14,Credit Card,Yes,4,Mumbai
64ad7e04-b4f7-4c5e-93e7-8db2a0c4b574,2024-05-18,45,Female,1,335,Finance,"₹4,767","₹94,645",Email Campaign,41,UPI,No,0,Mumbai
9193f760-5706-4abd-a099-8536751e9c94,2024-05-20,61,Male,0,424,Finance,"₹6,488","₹21,754",Google Ads,18,Credit Card,Yes,7,Mumbai
821d71e8-771b-498d-b1c8-6107a1d66d83,2024-10-04,28,Female,0,103,Finance,"₹28,474","₹70,837",Partner Website,44,Bank Transfer,No,0,Mumbai
934867ed-de04-4a80-afce-c87fd98447a7,2024-06-28,48,Female,0,216,Consulting,"₹24,536","₹8,207",Facebook Ads,31,Bank Transfer,No,9,Mumbai
2b8ac099-3406-4105-95a5-73643ca75fdb,2023-09-14,41,Male,0,603,Consulting,"₹9,180","₹28,920",Email Campaign,13,Bank Transfer,Yes,0,Mumbai
47dc07b1-5678-4baf-b4c4-1c0d2588e1fc,2022-11-18,32,Male,1,366,Healthcare,"₹1,985","₹88,739",Facebook Ads,26,Bank Transfer,No,0,Mumbai
ed1d2763-a6c9-411b-b3ba-b87029686df1,2023-04-02,56,Female,0,705,Consulting,"₹15,213","₹88,081",Google Ads,44,Bank Transfer,No,0,Mumbai
b5ba1e7d-c118-4fe7-9790-8d0687d1b1da,2024-03-21,28,Female,1,597,Retail,"₹20,543","₹25,016",Instagram Ads,12,Bank Transfer,No,8,Mumbai
7136a5fe-b252-49bd-8533-5d41f0833a5a,2022-11-27,51,Female,0,652,Education,"₹2,919","₹97,634",Word of Mouth,18,Credit Card,Yes,0,Mumbai
64112b98-4273-468d-8719-0348f4fe3ac2,2024-08-31,54,Female,0,269,E-Commerce,"₹48,580","₹61,522",Word of Mouth,9,UPI,No,0,Mumbai
de8be16a-2032-46d0-b4cf-883ad04d40ee,2022-11-10,63,Male,1,562,Education,"₹36,763","₹75,092",Google Ads,49,Credit Card,No,0,Mumbai
f7ac13a7-e095-4aec-999b-0107c54dd9c3,2023-12-12,43,Male,0,170,Finance,"₹17,640","₹55,068",Referral Program,21,Bank Transfer,Yes,6,Mumbai
5e5da982-8a72-45b9-a507-dba66959f706,2022-11-06,44,Male,0,294,Education,"₹43,984","₹21,102",Email Campaign,48,UPI,Yes,0,Mumbai
24c65247-9fc2-4544-a9d0-af1ab16d3179,2024-05-17,25,Female,0,168,Manufacturing,"₹45,710","₹2,924",Google Ads,49,UPI,No,0,Mumbai
e41efd10-b94d-470e-8ecf-9152c7f368cc,2024-04-21,26,Male,0,488,Consulting,"₹13,461","₹86,015",Instagram Ads,40,Bank Transfer,Yes,1,Mumbai
a4a5cbae-ef26-455c-bbdb-21a203d5880a,2023-09-24,45,Male,0,99,Education,"₹43,575","₹55,333",Facebook Ads,43,Bank Transfer,Yes,0,Mumbai
17ac3efc-8e96-4cee-8b5c-cff44a560a46,2024-01-14,56,Male,0,414,E-Commerce,"₹6,987","₹85,458",Email Campaign,24,Bank Transfer,Yes,9,Mumbai
9e3ba4c6-149d-4eb3-b2dc-7a9bb0e35483,2024-09-23,20,Female,1,659,Tech,"₹31,610","₹85,196",Direct Traffic,34,Bank Transfer,No,0,Mumbai
871c14b9-f4af-4a9f-8e7d-e5b215cbd742,2023-01-15,42,Female,1,227,Manufacturing,"₹42,932","₹47,099",Partner Website,8,Bank Transfer,No,6,Mumbai
38647e82-d722-4b43-ac2d-4258d6efad27,2023-03-26,37,Female,1,234,Manufacturing,"₹16,860","₹58,346",Google Ads,44,Bank Transfer,Yes,3,Mumbai
d5b2c00d-5262-4e7b-ab56-fdb7e7eff9c3,2023-05-17,24,Male,0,597,Education,"₹49,910","₹76,481",Direct Traffic,33,UPI,No,8,Mumbai
399c4629-a24c-40bc-a617-90a083cdd5a0,2024-09-07,57,Female,0,716,Healthcare,"₹37,343","₹51,062",Direct Traffic,23,Bank Transfer,Yes,0,Mumbai
b47b5acb-921b-4d57-bde0-9a9ada983679,2023-06-25,27,Male,0,669,Finance,"₹25,382","₹1,306",Instagram Ads,13,Bank Transfer,No,0,Mumbai
1acabb2e-658a-4d0e-9948-d3293108e3a4,2024-01-30,47,Female,1,460,Retail,"₹18,002","₹89,495",Direct Traffic,49,UPI,Yes,5,Mumbai
e13ab150-34cc-46dd-98aa-3f63165e530c,2023-11-05,43,Female,0,354,Retail,"₹48,553","₹70,767",Google Ads,14,Credit Card,No,0,Mumbai
b9dadef9-3ef7-4318-ba82-b316df246626,2024-08-22,36,Male,1,471,Tech,"₹8,131","₹13,207",Referral Program,14,Bank Transfer,Yes,0,Mumbai
129eedb8-d9f0-4597-8d55-38862e7378ed,2024-08-02,35,Male,0,317,Retail,"₹3,517","₹40,426",Word of Mouth,16,UPI,No,7,Mumbai
c99e3f00-3762-45a2-95df-33f069523d50,2023-03-28,35,Male,0,255,Retail,"₹21,225","₹7,336",Word of Mouth,49,UPI,No,5,Mumbai
c4b6e280-2b50-4a4e-b80a-c7b9b1357f18,2023-04-05,27,Female,0,93,Finance,"₹25,262","₹76,166",Email Campaign,38,Credit Card,Yes,9,Mumbai
e1f3d65d-2526-4c26-940a-e74ebadf086d,2023-03-03,51,Male,1,589,Consulting,"₹1,284","₹18,256",Facebook Ads,39,Bank Transfer,No,9,Mumbai
66607260-1614-40a6-85bc-a26fc65ccaa1,2024-01-13,29,Male,0,527,Finance,"₹28,520","₹50,817",Instagram Ads,26,Bank Transfer,No,0,Mumbai
49ad28dd-454a-4a02-94af-57d96290eeec,2023-12-31,47,Male,1,89,Healthcare,"₹38,959","₹34,719",Google Ads,26,Bank Transfer,No,0,Mumbai
4906edad-9108-46e8-899d-31f4bfd83e34,2023-11-29,49,Female,0,426,E-Commerce,"₹16,265","₹43,017",Email Campaign,1,UPI,No,0,Mumbai
47ebb3a7-8b88-4e07-86de-d2dcf8346700,2023-03-28,29,Male,0,286,Tech,"₹31,627","₹46,704",Google Ads,32,Bank Transfer,No,0,Mumbai
b5d71c05-31c5-458e-9d53-5f54c62941d0,2024-07-21,20,Female,1,606,Retail,"₹3,696","₹31,013",Email Campaign,15,Bank Transfer,No,0,Mumbai
1164d5fc-ed6a-4fea-a813-77b1fbd88f85,2023-01-27,35,Female,0,268,Healthcare,"₹10,052","₹80,991",Word of Mouth,21,Bank Transfer,No,0,Mumbai
73071f0c-d896-4593-99ef-caee35a9641e,2023-11-30,32,Male,0,67,Tech,"₹41,800","₹71,258",Direct Traffic,18,Bank Transfer,No,2,Mumbai
4479060f-bbe6-44b0-8925-0bbf88512626,2022-10-18,60,Female,0,54,Manufacturing,"₹32,421","₹79,348",Referral Program,30,Credit Card,Yes,0,Mumbai
70fcc108-b2f9-40e9-a40e-2e4d1fc51299,2024-01-02,28,Male,0,439,Retail,"₹5,246","₹96,812",Google Ads,13,Credit Card,No,0,Mumbai
ae11ae14-740c-4dae-ad37-5ef574b2deb2,2023-05-03,36,Male,1,490,Retail,"₹3,499","₹37,776",Referral Program,24,Credit Card,Yes,0,Mumbai
d2986ac8-7648-4453-b87c-6305479e55c9,2023-09-30,49,Female,1,600,Finance,"₹44,570","₹11,060",Partner Website,30,Bank Transfer,No,7,Mumbai
d648bb34-9b2b-4844-8596-f189abda4361,2024-01-26,61,Female,0,446,Education,"₹49,720","₹79,592",Partner Website,2,Bank Transfer,Yes,8,Mumbai
e58bb795-2a62-4f3b-a88f-24a106ed9a1f,2022-10-28,54,Male,0,386,Tech,"₹16,095","₹7,655",Direct Traffic,19,UPI,No,0,Mumbai
501cb1be-b4e2-4ae6-8854-67fd44bd460b,2023-10-14,55,Female,1,412,Retail,"₹22,563","₹89,110",Word of Mouth,47,UPI,Yes,1,Mumbai
96f210bb-5a5f-4a3d-8482-2b7603eb391a,2023-03-02,65,Female,0,187,Consulting,"₹6,700","₹50,923",Instagram Ads,44,UPI,Yes,4,Mumbai
a49b5c44-5333-452c-8b0a-72c127c15d7d,2023-08-12,23,Female,1,598,Tech,"₹38,664","₹79,563",Referral Program,47,Bank Transfer,No,0,Mumbai
e38bf3c5-e4e4-4009-9971-ae0a10e229b3,2023-10-18,32,Female,0,462,E-Commerce,"₹23,877","₹5,030",Email Campaign,25,Credit Card,Yes,0,Mumbai
d9711f4e-2ce5-4d36-b712-f0cf9e72081a,2024-06-03,65,Female,1,77,Consulting,"₹13,910","₹90,779",Instagram Ads,14,Credit Card,No,0,Mumbai
f8cf1139-b765-45ec-9149-e176e6038e14,2023-03-11,51,Male,1,357,Healthcare,"₹46,471","₹34,289",Google Ads,6,Credit Card,No,9,Mumbai
78337953-61fc-4dc4-bd5f-3e2b832bfa77,2022-12-17,63,Male,1,462,Consulting,"₹4,098","₹20,739",Google Ads,12,Bank Transfer,Yes,4,Mumbai
d9e3d80b-21a8-4e02-9cd5-c527d79321fd,2022-11-20,60,Male,1,460,Healthcare,"₹11,064","₹62,687",Email Campaign,20,Credit Card,No,0,Mumbai
539f6e1b-2008-44ac-a039-df21649b912e,2022-11-24,45,Female,0,85,Education,"₹46,016","₹37,491",Facebook Ads,23,UPI,Yes,3,Mumbai
134d5e5a-3ca5-4718-b706-7a7ed0bf014f,2023-01-12,23,Male,0,606,Retail,"₹31,398","₹96,549",Direct Traffic,30,UPI,Yes,3,Mumbai
23551faa-34a5-466d-8995-4a5bb71bca97,2022-12-25,62,Female,1,297,Consulting,"₹21,098","₹73,115",Facebook Ads,30,Credit Card,No,7,Mumbai
897ff9a8-9aa6-42bf-be5b-2ecfa93c5afc,2024-09-29,26,Male,1,98,E-Commerce,"₹40,904","₹84,778",Direct Traffic,38,UPI,No,0,Mumbai
0009f887-7914-4067-9e44-dd3919433a1e,2023-01-16,60,Male,1,630,Finance,"₹18,362","₹5,781",Google Ads,30,Credit Card,No,0,Mumbai
949b1d2c-3471-4f21-8d23-eba7a4998348,2024-01-17,61,Male,1,478,Retail,"₹10,765","₹21,448",Direct Traffic,41,Credit Card,No,0,Mumbai
bc1fefea-a8cb-4ca6-992a-eeb7e4cd92f6,2023-11-25,53,Male,0,286,Tech,"₹10,205","₹52,550",Word of Mouth,30,UPI,No,0,Mumbai
d0e97a9c-bb6d-4584-b7e5-7d80b505b1b9,2023-10-31,43,Male,1,701,Manufacturing,"₹26,044","₹50,294",Word of Mouth,36,UPI,Yes,0,Mumbai
5313b32a-cbb0-4ea0-9287-681ad2bffc33,2023-11-06,27,Female,1,519,Healthcare,"₹14,798","₹22,446",Email Campaign,49,UPI,Yes,8,Mumbai
19d965aa-7a10-40a7-b6b3-ea0e3a95564c,2023-05-04,30,Male,1,672,Tech,"₹33,170","₹77,579",Facebook Ads,34,UPI,No,1,Mumbai
169b01a9-82d1-4522-bb69-1038534bd400,2024-08-02,53,Female,1,78,Education,"₹42,971","₹86,389",Referral Program,16,Credit Card,No,5,Mumbai
295a99b0-76f6-49d6-aca8-85b4751ed9b3,2023-07-24,41,Male,1,688,Healthcare,"₹46,604","₹86,615",Google Ads,24,UPI,No,2,Mumbai
8f9da177-adc4-48cf-a565-70a800c6f68e,2024-04-12,60,Male,1,345,Finance,"₹41,434","₹18,101",Partner Website,14,UPI,Yes,6,Mumbai
a3a50dd6-1abc-41fa-bbb5-dfbbc498becc,2024-09-17,22,Male,1,442,Healthcare,"₹49,384","₹67,178",Referral Program,26,Bank Transfer,Yes,9,Mumbai
0abb4d5c-f736-4bb4-bb51-13c12d8d72bd,2024-03-28,63,Male,0,463,Manufacturing,"₹6,550","₹29,016",Email Campaign,8,UPI,Yes,0,Mumbai
862dbeaa-500f-4822-a142-b852d897bf60,2023-12-27,30,Female,1,31,Consulting,"₹44,452","₹19,932",Partner Website,14,UPI,No,0,Mumbai
81fe5468-9ce2-46cb-83ac-33c623946406,2023-12-12,50,Male,1,174,E-Commerce,"₹21,534","₹45,653",Referral Program,31,Credit Card,No,2,Mumbai
c1994fe0-40a0-4e6f-956c-1ca55b71a929,2024-04-25,47,Male,1,395,Consulting,"₹45,980","₹91,481",Facebook Ads,2,Credit Card,Yes,0,Mumbai
37780e56-d96b-4113-91ca-0046cc83f28f,2024-03-17,52,Female,0,449,Retail,"₹8,984","₹53,802",Direct Traffic,48,Bank Transfer,No,6,Mumbai
db9c75f7-b3a9-4f4c-8363-1013ed3bbaae,2023-12-06,59,Female,0,602,Manufacturing,"₹31,823","₹8,549",Word of Mouth,4,UPI,No,8,Mumbai
0ab39d5d-113f-4dca-96ba-238efdc96771,2022-12-13,45,Male,0,590,E-Commerce,"₹21,296","₹79,933",Facebook Ads,1,UPI,Yes,0,Mumbai
a7fc2ab1-3d92-4776-8b30-12c01b4540a1,2024-03-30,63,Male,1,473,Manufacturing,"₹29,569","₹26,362",Partner Website,20,UPI,Yes,0,Mumbai
44b83237-89bb-420e-81f0-f2bab75da886,2023-07-14,44,Female,1,463,Retail,"₹22,327","₹48,842",Direct Traffic,14,UPI,No,5,Mumbai
6b893ece-a202-4a0b-a34e-00fdd8551f82,2023-05-21,62,Male,1,672,Healthcare,"₹35,861","₹47,539",Direct Traffic,40,UPI,Yes,0,Mumbai
a729d232-7bb8-4f62-aaa2-9921d55f2b9d,2023-03-11,31,Female,0,584,Education,"₹10,815","₹34,717",Direct Traffic,25,UPI,No,7,Mumbai
9455e56b-6957-437f-a363-9cb9041a97f9,2023-03-13,35,Male,1,86,Retail,"₹48,468","₹55,596",Instagram Ads,25,Bank Transfer,Yes,6,Mumbai
9d744553-37d2-4d2c-b8f5-18f52aab1bca,2024-06-19,48,Male,0,591,Retail,"₹27,019","₹24,016",Word of Mouth,3,UPI,Yes,1,Mumbai
a701534a-7f9a-4ebe-84ba-bef0fbdb77bc,2024-06-03,29,Male,0,207,E-Commerce,"₹9,607","₹56,200",Google Ads,5,UPI,No,4,Mumbai
efe2731f-e13e-4bc4-827b-3f76e366081f,2023-11-24,54,Female,0,322,Finance,"₹4,369","₹81,268",Partner Website,38,UPI,No,6,Mumbai
db542c11-5cdd-4790-b82f-fb14b142bffb,2023-10-28,21,Female,0,75,Consulting,"₹15,947","₹61,287",Email Campaign,26,Bank Transfer,Yes,0,Mumbai
7b57fdf3-6e71-4b73-9036-736e10a5e7fe,2023-10-18,23,Female,0,199,Healthcare,"₹27,870","₹93,447",Google Ads,40,UPI,No,3,Mumbai
a7a3b131-76ba-4c42-b760-7e0e68e7baae,2023-04-11,20,Male,1,300,Retail,"₹8,471","₹84,402",Referral Program,38,Bank Transfer,Yes,0,Mumbai
60d7f5cd-bf5e-41b5-ac8e-be72ec3a72a9,2022-12-17,23,Female,1,446,Education,"₹31,769","₹43,607",Word of Mouth,38,Credit Card,No,6,Mumbai
cc8f8c6d-fd41-41d1-992a-865aa9ca363a,2024-02-03,59,Male,0,168,Tech,"₹26,151","₹28,621",Email Campaign,4,UPI,Yes,0,Mumbai
9b734dcd-5ec6-46fd-b9b9-a7d24754ca0c,2024-05-14,51,Female,1,276,Healthcare,"₹36,257","₹13,823",Email Campaign,7,Bank Transfer,Yes,9,Mumbai
9d0e266d-324e-45f4-ac18-ee3348a502b9,2023-04-24,41,Female,1,177,Finance,"₹23,946","₹30,986",Facebook Ads,30,Credit Card,Yes,0,Mumbai
6ed7eaa5-1cf2-42e4-bc80-66b7b2a099f8,2023-12-24,64,Female,0,259,Manufacturing,"₹38,608","₹65,325",Referral Program,30,Bank Transfer,No,4,Mumbai
e7686987-e99e-4104-bd80-c1b95c902491,2024-04-20,39,Male,0,666,Retail,"₹10,143","₹58,771",Facebook Ads,19,Bank Transfer,Yes,9,Mumbai
2d009b61-4282-47d1-bfd8-885384e0cfc6,2023-02-09,64,Female,1,403,Education,"₹4,323","₹55,973",Facebook Ads,39,Credit Card,Yes,0,Mumbai
530d81f0-5bdf-40bf-b89a-32566b98205f,2023-07-09,51,Male,1,109,Healthcare,"₹13,954","₹15,690",Direct Traffic,35,UPI,Yes,0,Mumbai
9591f148-edec-474b-89a4-1555638816a0,2024-10-03,40,Female,1,635,Education,"₹4,432","₹40,107",Word of Mouth,40,UPI,Yes,0,Mumbai
528ff1bd-9a77-454c-8b74-80832c123259,2023-09-14,53,Female,1,94,Education,"₹10,720","₹58,888",Instagram Ads,33,Bank Transfer,No,0,Mumbai
3b9b9ed3-5205-4f30-bab5-89a619d63962,2024-03-20,50,Male,0,117,Consulting,"₹9,054","₹11,956",Facebook Ads,33,Credit Card,No,0,Mumbai
5de4a438-884c-4afc-bedf-49d541d39012,2023-01-26,52,Female,1,117,E-Commerce,"₹2,929","₹87,839",Google Ads,14,UPI,Yes,0,Mumbai
f25908db-e8db-4947-8bfb-bd4c7cbb32bc,2024-01-05,53,Female,0,233,Manufacturing,"₹28,708","₹57,227",Email Campaign,38,Bank Transfer,Yes,1,Mumbai
8e0ee7a7-5df3-4e19-843c-ad5b78ee0740,2023-10-01,28,Female,0,411,Finance,"₹7,944","₹37,533",Word of Mouth,10,Credit Card,No,2,Mumbai
91d868f3-f474-40e1-8b49-a9c187114848,2023-05-16,37,Female,1,630,Consulting,"₹11,010","₹96,210",Facebook Ads,28,Bank Transfer,Yes,3,Mumbai
fb292b6e-fd19-4130-9061-ae1d62f6c4ba,2024-07-08,32,Female,1,505,Healthcare,"₹44,545","₹57,234",Partner Website,14,Credit Card,No,0,Mumbai
b8f5f975-25a5-47cd-b6bc-ba68cd1dc76b,2024-08-03,28,Male,1,602,Retail,"₹11,037","₹68,594",Google Ads,36,UPI,Yes,0,Mumbai
0704d732-e086-437c-b47f-0609d1e4c9d0,2022-12-06,52,Female,0,635,Finance,"₹7,647","₹57,901",Referral Program,38,UPI,No,0,Mumbai
fefa649f-b27d-4f42-8835-ecc86b98ced6,2024-02-17,57,Male,0,568,Retail,"₹40,899","₹12,519",Email Campaign,16,Bank Transfer,Yes,6,Mumbai
3c1a9b8a-dad2-425a-80be-951865db8c2d,2024-06-18,31,Female,0,243,Tech,"₹4,098","₹32,115",Word of Mouth,21,UPI,No,0,Mumbai
e5029a72-80a9-4268-944d-483d743cf749,2024-01-24,21,Male,0,103,Education,"₹37,597","₹67,266",Partner Website,28,UPI,No,6,Mumbai
ee56e216-7083-4c02-bc9f-4af6308449c7,2022-10-31,46,Female,1,90,Tech,"₹7,218","₹2,832",Word of Mouth,33,Credit Card,No,0,Mumbai
7ef72682-aa62-4f55-822c-5ca635890d19,2023-06-29,24,Female,0,727,E-Commerce,"₹43,191","₹42,368",Word of Mouth,6,UPI,Yes,0,Mumbai
bd7a8d39-d199-45cc-b0d1-e1ed702b57d1,2022-12-26,52,Male,0,572,Education,"₹14,282","₹89,425",Partner Website,41,Credit Card,No,0,Mumbai
d8cb18d6-e3b7-40b6-be9f-bdb6aebe2ccf,2024-04-07,55,Female,1,248,Manufacturing,"₹49,744","₹70,715",Referral Program,15,Credit Card,No,9,Mumbai
de2b049a-9591-476d-98cf-8d30832934aa,2023-07-18,18,Male,0,41,Finance,₹551,"₹72,835",Partner Website,44,Bank Transfer,Yes,0,Mumbai
67bcbe97-c94c-40a1-bd3c-3ada6174f81e,2024-06-25,57,Male,0,444,Retail,"₹17,202","₹74,366",Google Ads,3,Credit Card,Yes,5,Mumbai
18e32523-aeb6-41e0-8a6b-0036fd9fbb73,2024-03-15,29,Female,1,61,Consulting,"₹10,684","₹38,570",Direct Traffic,43,UPI,Yes,0,Mumbai
d8662186-ec85-49d8-b76a-53a83d0b08c6,2024-05-12,62,Female,0,189,E-Commerce,"₹12,968","₹88,977",Word of Mouth,47,Credit Card,Yes,0,Mumbai
0005ab9d-7d3f-401d-8a77-8fd78fb86df4,2023-02-03,49,Female,0,266,Manufacturing,"₹22,572","₹7,615",Referral Program,35,Credit Card,No,0,Mumbai
dc189133-d2f6-4b75-9baa-917c219ecaaf,2023-10-10,41,Male,0,210,Retail,"₹15,979","₹73,298",Word of Mouth,14,Bank Transfer,Yes,0,Mumbai
2e7f1e74-4edf-47f2-bfb4-499c852b4277,2023-04-12,42,Female,0,587,Finance,"₹28,967","₹39,311",Partner Website,2,UPI,Yes,5,Mumbai
a678a9e9-a36c-49ee-99c3-f1c80497a795,2024-03-13,54,Female,1,370,Healthcare,"₹23,902","₹91,245",Referral Program,29,UPI,Yes,0,Mumbai
f2100a0f-28ad-4769-a662-7ce542926179,2023-08-28,62,Male,0,487,E-Commerce,"₹7,710","₹24,434",Referral Program,4,UPI,Yes,2,Mumbai
4f8a8161-100d-45a1-bc6d-8c8551a2a639,2023-10-11,52,Female,1,109,Tech,"₹46,202","₹87,879",Facebook Ads,26,Credit Card,Yes,0,Mumbai
ca501098-7185-446d-af77-a08ddbda53ef,2024-05-13,20,Male,0,676,Tech,"₹37,224","₹16,739",Facebook Ads,12,UPI,Yes,0,Mumbai
344d4590-d319-4771-9669-facdd3c5ae87,2024-05-19,54,Male,1,502,Consulting,"₹6,557","₹67,202",Direct Traffic,2,UPI,Yes,0,Mumbai
2dd4c4a2-24de-4620-8122-bc6e07d4adb8,2023-11-12,60,Female,1,700,Retail,"₹31,416","₹99,580",Facebook Ads,17,Credit Card,No,8,Mumbai
4b25951b-3d58-48c2-84a7-8fa1b48b906f,2024-07-19,37,Female,1,141,Retail,"₹27,768","₹94,419",Partner Website,35,Bank Transfer,No,0,Mumbai
1ea821be-efc6-4508-b1df-5bfc2bae82bd,2024-03-06,19,Female,0,321,Retail,"₹44,478","₹80,599",Email Campaign,10,Bank Transfer,No,7,Mumbai
6ffc8547-b8b9-4e26-9d7a-381521c15420,2023-08-22,50,Male,0,660,E-Commerce,"₹47,858","₹34,649",Google Ads,48,Credit Card,No,7,Mumbai
d574ec14-6cc9-4c34-bf96-0cb67497fe8d,2024-07-10,25,Female,0,412,Finance,"₹23,759","₹48,445",Partner Website,22,Bank Transfer,No,0,Mumbai
e518e666-0d23-491b-b716-ec8f5ca0a86f,2023-06-16,57,Female,1,46,Healthcare,"₹14,364","₹40,470",Word of Mouth,41,Bank Transfer,Yes,9,Mumbai
797c73b9-2906-469b-8e42-01f75a4fab3e,2023-01-09,62,Female,0,522,Tech,"₹34,793","₹75,965",Facebook Ads,43,Bank Transfer,Yes,0,Mumbai
faa10629-320e-45e7-9e2f-11aebbf9790d,2024-04-30,27,Female,0,360,Manufacturing,"₹46,545","₹49,621",Referral Program,21,UPI,Yes,2,Mumbai
e8e55057-b7ed-4956-ae91-902ffaadbc1c,2023-03-11,64,Male,0,515,Education,"₹7,543","₹33,926",Partner Website,15,Bank Transfer,Yes,3,Mumbai
484c3dce-1b62-43a7-8e9e-b01f3b29f9be,2023-07-31,65,Male,0,435,E-Commerce,"₹41,973","₹38,997",Referral Program,35,UPI,No,2,Mumbai
32166485-cb61-4351-868f-e75ea5ebee84,2024-09-28,27,Female,1,146,E-Commerce,"₹39,393","₹60,940",Direct Traffic,48,Bank Transfer,No,8,Mumbai
fdea81e7-fae1-438d-8c44-927697a76185,2022-11-12,49,Male,1,584,Finance,"₹41,142","₹41,724",Word of Mouth,21,UPI,Yes,0,Mumbai
98fcdd89-b5d3-44c2-bdf8-93f7c3ddac02,2022-11-19,38,Female,0,144,Tech,"₹13,029","₹98,805",Referral Program,21,Credit Card,Yes,3,Mumbai
9d77616f-1ade-4c12-8e62-9f0eaa27ba18,2024-01-03,36,Female,0,578,Consulting,"₹31,368","₹32,704",Referral Program,21,Credit Card,No,0,Mumbai
2c8e52e9-b863-43c2-94eb-98f116d672fc,2023-05-14,52,Male,0,654,Healthcare,"₹26,809","₹29,391",Direct Traffic,44,Bank Transfer,No,8,Mumbai
